"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"30.11.2010","Tue","0.44875","0.54125","0.75375","0.85000","0.96750","1.20500","1.48750"
"29.11.2010","Mon","0.38875","0.53875","0.75125","0.85000","0.96750","1.20625","1.49000"
"26.11.2010","Fri","0.39250","0.54250","0.75250","0.85125","0.96875","1.21000","1.49250"
"25.11.2010","Thu","0.40000","0.55500","0.75125","0.85375","0.96875","1.21000","1.49375"
"24.11.2010","Wed","0.42250","0.56625","0.75500","0.85625","0.96875","1.21000","1.49125"
"23.11.2010","Tue","0.44375","0.58375","0.76375","0.86000","0.97375","1.21125","1.49375"
"22.11.2010","Mon","0.45250","0.60625","0.77000","0.86063","0.97625","1.21688","1.49813"
"19.11.2010","Fri","0.50000","0.63250","0.77750","0.86313","0.97875","1.21938","1.50000"
"18.11.2010","Thu","0.57250","0.66750","0.78750","0.86625","0.97875","1.21938","1.50250"
"17.11.2010","Wed","0.66125","0.70750","0.79750","0.86813","0.98313","1.22313","1.50625"
"16.11.2010","Tue","0.70250","0.73375","0.80375","0.87188","0.98813","1.23000","1.50875"
"15.11.2010","Mon","0.72625","0.74375","0.80750","0.87750","0.99125","1.23250","1.51125"
"12.11.2010","Fri","0.73125","0.75375","0.80875","0.87750","0.99250","1.23375","1.51250"
"11.11.2010","Thu","0.74000","0.75500","0.81000","0.88000","0.99313","1.23375","1.51313"
"10.11.2010","Wed","0.74500","0.76000","0.81000","0.87750","0.99375","1.23125","1.51375"
"09.11.2010","Tue","0.76625","0.75875","0.81125","0.87750","0.99500","1.23125","1.51375"
"08.11.2010","Mon","0.33500","0.74750","0.80625","0.87625","0.99250","1.23125","1.51250"
"05.11.2010","Fri","0.35750","0.73875","0.81250","0.87250","0.99375","1.23125","1.50813"
"04.11.2010","Thu","0.45000","0.71188","0.80750","0.87063","0.99000","1.22813","1.50563"
"03.11.2010","Wed","0.58125","0.69750","0.80625","0.86813","0.99000","1.22813","1.50563"
"02.11.2010","Tue","0.63750","0.71500","0.80688","0.86438","0.98750","1.22625","1.50563"
"01.11.2010","Mon","0.68250","0.73375","0.80375","0.86250","0.98875","1.22438","1.50688"
"29.10.2010","Fri","0.69250","0.73875","0.80688","0.86063","0.98688","1.22438","1.50688"
"28.10.2010","Thu","0.70875","0.74875","0.80375","0.85625","0.98500","1.22438","1.50594"
"27.10.2010","Wed","0.74875","0.75500","0.80063","0.85125","0.97813","1.22125","1.50219"
"26.10.2010","Tue","0.75875","0.75688","0.79313","0.84938","0.97500","1.21375","1.49594"
"25.10.2010","Mon","0.76125","0.75500","0.78625","0.84563","0.97063","1.21125","1.49344"
"22.10.2010","Fri","0.77000","0.75750","0.78875","0.84625","0.96875","1.21063","1.49031"
"21.10.2010","Thu","0.76000","0.74125","0.77500","0.82875","0.96250","1.20188","1.48094"
"20.10.2010","Wed","0.74625","0.73000","0.76250","0.81063","0.95313","1.19594","1.47813"
"19.10.2010","Tue","0.70250","0.71125","0.74000","0.79281","0.94438","1.18938","1.47344"
"18.10.2010","Mon","0.67750","0.69500","0.73000","0.78625","0.93688","1.18531","1.46969"
"15.10.2010","Fri","0.66500","0.69250","0.72813","0.78438","0.92938","1.18281","1.46688"
"14.10.2010","Thu","0.65875","0.68875","0.72438","0.77813","0.92500","1.18156","1.46250"
"13.10.2010","Wed","0.66375","0.69000","0.72500","0.77625","0.92200","1.17875","1.46000"
"12.10.2010","Tue","0.72625","0.68775","0.71875","0.76875","0.91750","1.17500","1.45925"
"11.10.2010","Mon","0.35750","0.66500","0.70656","0.76563","0.91438","1.17250","1.45675"
"08.10.2010","Fri","0.36375","0.64625","0.70125","0.76125","0.90813","1.17000","1.45550"
"07.10.2010","Thu","0.37250","0.60875","0.68969","0.75250","0.90313","1.16375","1.44625"
"06.10.2010","Wed","0.39500","0.59500","0.68438","0.74500","0.89500","1.15750","1.44875"
"05.10.2010","Tue","0.50250","0.60625","0.68125","0.74000","0.89375","1.16000","1.44875"
