,Date_Stamp,EURUSD,euro_zone_growth,euro_zone_ibr,por_av_wage,por_bank_lending,por_income_tax,por_infl,por_personal_saving,por_unemployment
0,2010-12-30,1.3283,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
1,2010-12-29,1.3224,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
2,2010-12-28,1.312,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
3,2010-12-27,1.3161,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
4,2010-12-24,1.3118,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
5,2010-12-23,1.312,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
6,2010-12-22,1.31,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
7,2010-12-21,1.3096,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
8,2010-12-20,1.3121,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
9,2010-12-17,1.3182,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
10,2010-12-16,1.3239,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
11,2010-12-15,1.3213,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
12,2010-12-14,1.3384,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
13,2010-12-13,1.3391,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
14,2010-12-10,1.3234,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
15,2010-12-09,1.3245,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
16,2010-12-08,1.3259,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
17,2010-12-07,1.3264,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
18,2010-12-06,1.3306,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
19,2010-12-03,1.3415,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
20,2010-12-02,1.3227,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
21,2010-12-01,1.3143,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
22,2010-11-30,1.298,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
23,2010-11-29,1.3121,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
24,2010-11-26,1.3243,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
25,2010-11-25,1.3363,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
26,2010-11-24,1.3332,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
27,2010-11-23,1.3373,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
28,2010-11-22,1.3626,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
29,2010-11-19,1.3687,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
30,2010-11-18,1.3645,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
31,2010-11-17,1.3519,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
32,2010-11-16,1.3493,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
33,2010-11-15,1.3586,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
34,2010-11-12,1.3693,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
35,2010-11-11,1.3658,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
36,2010-11-10,1.3784,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
37,2010-11-09,1.3779,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
38,2010-11-08,1.3921,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
39,2010-11-05,1.4034,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
40,2010-11-04,1.42,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
41,2010-11-03,1.4145,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
42,2010-11-02,1.404,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
43,2010-11-01,1.3891,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
44,2010-10-29,1.395,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
45,2010-10-28,1.3932,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
46,2010-10-27,1.3769,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
47,2010-10-26,1.3861,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
48,2010-10-25,1.3966,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
49,2010-10-22,1.3952,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
50,2010-10-21,1.392,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
51,2010-10-20,1.3967,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
52,2010-10-19,1.3735,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
53,2010-10-18,1.3948,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
54,2010-10-15,1.3979,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
55,2010-10-14,1.4081,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
56,2010-10-13,1.3963,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
57,2010-10-12,1.3925,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
58,2010-10-11,1.3874,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
59,2010-10-08,1.3943,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
60,2010-10-07,1.3927,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
61,2010-10-06,1.3937,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
62,2010-10-05,1.3834,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
63,2010-10-04,1.3682,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
64,2010-10-01,1.3792,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
65,2010-09-30,1.3633,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
66,2010-09-29,1.3629,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
67,2010-09-28,1.3582,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
68,2010-09-27,1.3457,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
69,2010-09-24,1.3491,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
70,2010-09-23,1.3312,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
71,2010-09-22,1.34,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
72,2010-09-21,1.3252,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
73,2010-09-20,1.3066,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
74,2010-09-17,1.3048,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
75,2010-09-16,1.3076,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
76,2010-09-15,1.3005,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
77,2010-09-14,1.2996,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
78,2010-09-13,1.288,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
79,2010-09-10,1.268,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
80,2010-09-09,1.2694,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
81,2010-09-08,1.2723,0.5,-0.3064,809.34,6.69,40.0,0.0,13.7,7.3
