,Date,Price,Open,High,Low,Change %
0,2010-12-30,1.3283,1.3225,1.3316,1.3212,0.45%
1,2010-12-29,1.3224,1.3116,1.3239,1.3082,0.79%
2,2010-12-28,1.312,1.3166,1.3277,1.3094,-0.31%
3,2010-12-27,1.3161,1.3115,1.3171,1.3072,0.33%
4,2010-12-24,1.3118,1.3117,1.3151,1.3095,-0.02%
5,2010-12-23,1.312,1.3096,1.3154,1.3054,0.15%
6,2010-12-22,1.31,1.3095,1.3182,1.3076,0.03%
7,2010-12-21,1.3096,1.3127,1.3203,1.3072,-0.19%
8,2010-12-20,1.3121,1.3182,1.319,1.3095,-0.46%
9,2010-12-17,1.3182,1.3239,1.3361,1.3133,-0.43%
10,2010-12-16,1.3239,1.3213,1.3268,1.318,0.20%
11,2010-12-15,1.3213,1.3383,1.3384,1.3209,-1.28%
12,2010-12-14,1.3384,1.3388,1.3498,1.3361,-0.05%
13,2010-12-13,1.3391,1.3207,1.3435,1.3182,1.19%
14,2010-12-10,1.3234,1.3237,1.3283,1.3178,-0.08%
15,2010-12-09,1.3245,1.3264,1.3325,1.3165,-0.11%
16,2010-12-08,1.3259,1.3263,1.3283,1.318,-0.04%
17,2010-12-07,1.3264,1.3304,1.3401,1.326,-0.32%
18,2010-12-06,1.3306,1.3382,1.3422,1.3243,-0.81%
19,2010-12-03,1.3415,1.3222,1.3418,1.3192,1.42%
20,2010-12-02,1.3227,1.3137,1.325,1.3059,0.64%
21,2010-12-01,1.3143,1.2985,1.3181,1.297,1.26%
22,2010-11-30,1.298,1.3124,1.3152,1.2967,-1.07%
23,2010-11-29,1.3121,1.3287,1.3304,1.3064,-0.92%
24,2010-11-26,1.3243,1.3355,1.3368,1.3199,-0.90%
25,2010-11-25,1.3363,1.3333,1.3388,1.3287,0.23%
26,2010-11-24,1.3332,1.3367,1.3424,1.3284,-0.31%
27,2010-11-23,1.3373,1.3619,1.3634,1.3361,-1.86%
28,2010-11-22,1.3626,1.3714,1.3786,1.3575,-0.45%
29,2010-11-19,1.3687,1.3647,1.3733,1.3609,0.31%
30,2010-11-18,1.3645,1.3527,1.3668,1.3525,0.93%
31,2010-11-17,1.3519,1.3487,1.3566,1.3458,0.19%
32,2010-11-16,1.3493,1.3587,1.3655,1.3447,-0.68%
33,2010-11-15,1.3586,1.3712,1.3752,1.3565,-0.78%
34,2010-11-12,1.3693,1.3666,1.3779,1.3573,0.26%
35,2010-11-11,1.3658,1.3784,1.3823,1.3637,-0.91%
36,2010-11-10,1.3784,1.3777,1.3828,1.3672,0.04%
37,2010-11-09,1.3779,1.392,1.3975,1.375,-1.02%
38,2010-11-08,1.3921,1.4051,1.4085,1.3886,-0.81%
39,2010-11-05,1.4034,1.4216,1.425,1.4025,-1.17%
40,2010-11-04,1.42,1.4139,1.4284,1.4103,0.39%
41,2010-11-03,1.4145,1.4038,1.4177,1.3991,0.75%
42,2010-11-02,1.404,1.3897,1.4061,1.3881,1.07%
43,2010-11-01,1.3891,1.3963,1.4013,1.3862,-0.42%
44,2010-10-29,1.395,1.3927,1.3954,1.3806,0.13%
45,2010-10-28,1.3932,1.3761,1.3946,1.3757,1.18%
46,2010-10-27,1.3769,1.3859,1.3878,1.3733,-0.66%
47,2010-10-26,1.3861,1.3966,1.3984,1.3825,-0.75%
48,2010-10-25,1.3966,1.3958,1.4083,1.3935,0.10%
49,2010-10-22,1.3952,1.3924,1.3976,1.3858,0.23%
50,2010-10-21,1.392,1.396,1.4051,1.387,-0.34%
51,2010-10-20,1.3967,1.3731,1.3994,1.3699,1.69%
52,2010-10-19,1.3735,1.3951,1.4006,1.3714,-1.53%
53,2010-10-18,1.3948,1.3977,1.4,1.3832,-0.22%
54,2010-10-15,1.3979,1.4078,1.416,1.3938,-0.72%
55,2010-10-14,1.4081,1.3958,1.4124,1.3955,0.85%
56,2010-10-13,1.3963,1.3915,1.4002,1.391,0.27%
57,2010-10-12,1.3925,1.3874,1.3933,1.3773,0.37%
58,2010-10-11,1.3874,1.3994,1.4013,1.3866,-0.49%
59,2010-10-08,1.3943,1.3921,1.3986,1.3836,0.11%
60,2010-10-07,1.3927,1.3929,1.4028,1.3855,-0.07%
61,2010-10-06,1.3937,1.3836,1.3948,1.3798,0.74%
62,2010-10-05,1.3834,1.3679,1.3861,1.3636,1.11%
63,2010-10-04,1.3682,1.3792,1.3793,1.3666,-0.80%
64,2010-10-01,1.3792,1.3632,1.3796,1.362,1.17%
65,2010-09-30,1.3633,1.3626,1.3686,1.3561,0.03%
66,2010-09-29,1.3629,1.3579,1.3648,1.3565,0.35%
67,2010-09-28,1.3582,1.3445,1.3598,1.3382,0.93%
68,2010-09-27,1.3457,1.3482,1.3509,1.3426,-0.25%
69,2010-09-24,1.3491,1.3315,1.3498,1.3287,1.34%
70,2010-09-23,1.3312,1.3394,1.3415,1.3304,-0.66%
71,2010-09-22,1.34,1.3253,1.3441,1.3246,1.12%
72,2010-09-21,1.3252,1.3062,1.3282,1.3056,1.42%
73,2010-09-20,1.3066,1.3053,1.3121,1.3026,0.14%
74,2010-09-17,1.3048,1.3081,1.3162,1.3019,-0.21%
75,2010-09-16,1.3076,1.3012,1.3119,1.2976,0.55%
76,2010-09-15,1.3005,1.2993,1.3037,1.2954,0.07%
77,2010-09-14,1.2996,1.2878,1.3034,1.2827,0.90%
78,2010-09-13,1.288,1.2708,1.2894,1.2703,1.58%
79,2010-09-10,1.268,1.2699,1.275,1.2645,-0.11%
80,2010-09-09,1.2694,1.2721,1.2767,1.2662,-0.23%
81,2010-09-08,1.2723,1.2686,1.2766,1.2661,0.32%
82,2010-09-07,1.2683,1.2873,1.2877,1.2676,-1.48%
83,2010-09-06,1.2873,1.2889,1.292,1.2865,-0.18%
84,2010-09-03,1.2896,1.2829,1.29,1.281,0.55%
85,2010-09-02,1.2826,1.2799,1.2849,1.2776,0.11%
86,2010-09-01,1.2812,1.2686,1.2856,1.2662,0.99%
87,2010-08-31,1.2687,1.2664,1.2744,1.2624,0.18%
88,2010-08-30,1.2664,1.2766,1.277,1.2658,-0.79%
89,2010-08-27,1.2765,1.2716,1.2781,1.2679,0.35%
90,2010-08-26,1.272,1.266,1.2765,1.2649,0.49%
91,2010-08-25,1.2658,1.2631,1.2726,1.2604,0.26%
92,2010-08-24,1.2625,1.265,1.2719,1.2585,-0.26%
93,2010-08-23,1.2658,1.2704,1.2731,1.2645,-0.39%
94,2010-08-20,1.2708,1.2821,1.2835,1.2664,-0.88%
95,2010-08-19,1.2821,1.2855,1.2903,1.2771,-0.28%
96,2010-08-18,1.2857,1.2881,1.2925,1.2823,-0.19%
97,2010-08-17,1.2881,1.2824,1.2917,1.2804,0.43%
98,2010-08-16,1.2826,1.2761,1.2874,1.2736,0.58%
99,2010-08-13,1.2752,1.283,1.2909,1.275,-0.56%
100,2010-08-12,1.2824,1.2846,1.2933,1.278,-0.07%
101,2010-08-11,1.2833,1.3176,1.3191,1.2829,-2.62%
102,2010-08-10,1.3178,1.3222,1.3235,1.3072,-0.43%
103,2010-08-09,1.3235,1.3292,1.331,1.3216,-0.38%
104,2010-08-06,1.3285,1.3185,1.3336,1.3158,0.70%
105,2010-08-05,1.3192,1.3153,1.3235,1.3118,0.24%
106,2010-08-04,1.316,1.3229,1.3241,1.3132,-0.51%
107,2010-08-03,1.3228,1.3181,1.3263,1.3145,0.35%
108,2010-08-02,1.3182,1.3062,1.3197,1.3053,1.03%
109,2010-07-30,1.3048,1.3081,1.3096,1.2981,-0.24%
110,2010-07-29,1.3079,1.299,1.3108,1.298,0.66%
111,2010-07-28,1.2993,1.3002,1.3042,1.2965,-0.02%
112,2010-07-27,1.2995,1.299,1.3047,1.2951,0.00%
113,2010-07-26,1.2995,1.29,1.3005,1.2875,0.68%
114,2010-07-23,1.2907,1.2887,1.297,1.2794,0.12%
115,2010-07-22,1.2891,1.2753,1.2932,1.2738,1.05%
116,2010-07-21,1.2757,1.2881,1.2914,1.2731,-1.00%
117,2010-07-20,1.2886,1.2948,1.303,1.284,-0.42%
118,2010-07-19,1.294,1.2893,1.2992,1.2868,0.05%
119,2010-07-16,1.2933,1.293,1.301,1.2891,-0.05%
120,2010-07-15,1.2939,1.2741,1.2956,1.2708,1.55%
121,2010-07-14,1.2741,1.2723,1.2779,1.2681,0.10%
122,2010-07-13,1.2728,1.259,1.2739,1.2522,1.10%
123,2010-07-12,1.259,1.2639,1.2647,1.2548,-0.37%
124,2010-07-09,1.2637,1.2698,1.2725,1.2608,-0.45%
