,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary,Age_Group_1,Age_Group_2,est_av_salary
0,58,management,married,tertiary,no,2143,yes,no,5,may,4.35,1,-1,0,unknown,no,0,50-59,55-64,21936.0
1,44,technician,single,secondary,no,29,yes,no,5,may,2.52,1,-1,0,unknown,no,0,40-49,35-44,13032.0
2,33,entrepreneur,married,secondary,no,2,yes,yes,5,may,1.27,1,-1,0,unknown,no,0,30-39,25-34,
3,35,management,married,tertiary,no,231,yes,no,5,may,2.32,1,-1,0,unknown,no,0,30-39,35-44,21936.0
4,28,management,single,tertiary,no,447,yes,yes,5,may,3.62,1,-1,0,unknown,no,0,Below 30,25-34,21936.0
5,42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,may,6.33,1,-1,0,unknown,no,0,40-49,35-44,
6,58,retired,married,primary,no,121,yes,no,5,may,0.83,1,-1,0,unknown,no,0,50-59,55-64,0
7,43,technician,single,secondary,no,593,yes,no,5,may,0.92,1,-1,0,unknown,no,0,40-49,35-44,13032.0
8,41,admin.,divorced,secondary,no,270,yes,no,5,may,3.7,1,-1,0,unknown,no,0,40-49,35-44,10680
9,29,admin.,single,secondary,no,390,yes,no,5,may,2.28,1,-1,0,unknown,no,0,Below 30,25-34,10680
10,53,technician,married,secondary,no,6,yes,no,5,may,8.62,1,-1,0,unknown,no,0,50-59,45-54,13032.0
11,57,services,married,secondary,no,162,yes,no,5,may,2.9,1,-1,0,unknown,no,0,50-59,55-64,8400
12,51,retired,married,primary,no,229,yes,no,5,may,5.88,1,-1,0,unknown,no,0,50-59,45-54,0
13,57,blue-collar,married,primary,no,52,yes,no,5,may,0.63,1,-1,0,unknown,no,0,50-59,55-64,
14,60,retired,married,primary,no,60,yes,no,5,may,3.65,1,-1,0,unknown,no,0,Above 60,55-64,0
15,33,services,married,secondary,no,0,yes,no,5,may,0.9,1,-1,0,unknown,no,0,30-39,25-34,8400
16,28,blue-collar,married,secondary,no,723,yes,yes,5,may,4.37,1,-1,0,unknown,no,0,Below 30,25-34,
