"Date","Price","Open","High","Low","Change %"
"Dec 30, 2010","1.3283","1.3225","1.3316","1.3212","0.45%"
"Dec 29, 2010","1.3224","1.3116","1.3239","1.3082","0.79%"
"Dec 28, 2010","1.3120","1.3166","1.3277","1.3094","-0.31%"
"Dec 27, 2010","1.3161","1.3115","1.3171","1.3072","0.33%"
"Dec 24, 2010","1.3118","1.3117","1.3151","1.3095","-0.02%"
"Dec 23, 2010","1.3120","1.3096","1.3154","1.3054","0.15%"
"Dec 22, 2010","1.3100","1.3095","1.3182","1.3076","0.03%"
"Dec 21, 2010","1.3096","1.3127","1.3203","1.3072","-0.19%"
"Dec 20, 2010","1.3121","1.3182","1.3190","1.3095","-0.46%"
"Dec 17, 2010","1.3182","1.3239","1.3361","1.3133","-0.43%"
"Dec 16, 2010","1.3239","1.3213","1.3268","1.3180","0.20%"
"Dec 15, 2010","1.3213","1.3383","1.3384","1.3209","-1.28%"
"Dec 14, 2010","1.3384","1.3388","1.3498","1.3361","-0.05%"
"Dec 13, 2010","1.3391","1.3207","1.3435","1.3182","1.19%"
"Dec 10, 2010","1.3234","1.3237","1.3283","1.3178","-0.08%"
"Dec 09, 2010","1.3245","1.3264","1.3325","1.3165","-0.11%"
"Dec 08, 2010","1.3259","1.3263","1.3283","1.3180","-0.04%"
"Dec 07, 2010","1.3264","1.3304","1.3401","1.3260","-0.32%"
"Dec 06, 2010","1.3306","1.3382","1.3422","1.3243","-0.81%"
"Dec 03, 2010","1.3415","1.3222","1.3418","1.3192","1.42%"
"Dec 02, 2010","1.3227","1.3137","1.3250","1.3059","0.64%"
"Dec 01, 2010","1.3143","1.2985","1.3181","1.2970","1.26%"
"Nov 30, 2010","1.2980","1.3124","1.3152","1.2967","-1.07%"
"Nov 29, 2010","1.3121","1.3287","1.3304","1.3064","-0.92%"
"Nov 26, 2010","1.3243","1.3355","1.3368","1.3199","-0.90%"
"Nov 25, 2010","1.3363","1.3333","1.3388","1.3287","0.23%"
"Nov 24, 2010","1.3332","1.3367","1.3424","1.3284","-0.31%"
"Nov 23, 2010","1.3373","1.3619","1.3634","1.3361","-1.86%"
"Nov 22, 2010","1.3626","1.3714","1.3786","1.3575","-0.45%"
"Nov 19, 2010","1.3687","1.3647","1.3733","1.3609","0.31%"
"Nov 18, 2010","1.3645","1.3527","1.3668","1.3525","0.93%"
"Nov 17, 2010","1.3519","1.3487","1.3566","1.3458","0.19%"
"Nov 16, 2010","1.3493","1.3587","1.3655","1.3447","-0.68%"
"Nov 15, 2010","1.3586","1.3712","1.3752","1.3565","-0.78%"
"Nov 12, 2010","1.3693","1.3666","1.3779","1.3573","0.26%"
"Nov 11, 2010","1.3658","1.3784","1.3823","1.3637","-0.91%"
"Nov 10, 2010","1.3784","1.3777","1.3828","1.3672","0.04%"
"Nov 09, 2010","1.3779","1.3920","1.3975","1.3750","-1.02%"
"Nov 08, 2010","1.3921","1.4051","1.4085","1.3886","-0.81%"
"Nov 05, 2010","1.4034","1.4216","1.4250","1.4025","-1.17%"
"Nov 04, 2010","1.4200","1.4139","1.4284","1.4103","0.39%"
"Nov 03, 2010","1.4145","1.4038","1.4177","1.3991","0.75%"
"Nov 02, 2010","1.4040","1.3897","1.4061","1.3881","1.07%"
"Nov 01, 2010","1.3891","1.3963","1.4013","1.3862","-0.42%"
"Oct 29, 2010","1.3950","1.3927","1.3954","1.3806","0.13%"
"Oct 28, 2010","1.3932","1.3761","1.3946","1.3757","1.18%"
"Oct 27, 2010","1.3769","1.3859","1.3878","1.3733","-0.66%"
"Oct 26, 2010","1.3861","1.3966","1.3984","1.3825","-0.75%"
"Oct 25, 2010","1.3966","1.3958","1.4083","1.3935","0.10%"
"Oct 22, 2010","1.3952","1.3924","1.3976","1.3858","0.23%"
"Oct 21, 2010","1.3920","1.3960","1.4051","1.3870","-0.34%"
"Oct 20, 2010","1.3967","1.3731","1.3994","1.3699","1.69%"
"Oct 19, 2010","1.3735","1.3951","1.4006","1.3714","-1.53%"
"Oct 18, 2010","1.3948","1.3977","1.4000","1.3832","-0.22%"
"Oct 15, 2010","1.3979","1.4078","1.4160","1.3938","-0.72%"
"Oct 14, 2010","1.4081","1.3958","1.4124","1.3955","0.85%"
"Oct 13, 2010","1.3963","1.3915","1.4002","1.3910","0.27%"
"Oct 12, 2010","1.3925","1.3874","1.3933","1.3773","0.37%"
"Oct 11, 2010","1.3874","1.3994","1.4013","1.3866","-0.49%"
"Oct 08, 2010","1.3943","1.3921","1.3986","1.3836","0.11%"
"Oct 07, 2010","1.3927","1.3929","1.4028","1.3855","-0.07%"
"Oct 06, 2010","1.3937","1.3836","1.3948","1.3798","0.74%"
"Oct 05, 2010","1.3834","1.3679","1.3861","1.3636","1.11%"
"Oct 04, 2010","1.3682","1.3792","1.3793","1.3666","-0.80%"
"Oct 01, 2010","1.3792","1.3632","1.3796","1.3620","1.17%"
"Sep 30, 2010","1.3633","1.3626","1.3686","1.3561","0.03%"
"Sep 29, 2010","1.3629","1.3579","1.3648","1.3565","0.35%"
"Sep 28, 2010","1.3582","1.3445","1.3598","1.3382","0.93%"
"Sep 27, 2010","1.3457","1.3482","1.3509","1.3426","-0.25%"
"Sep 24, 2010","1.3491","1.3315","1.3498","1.3287","1.34%"
"Sep 23, 2010","1.3312","1.3394","1.3415","1.3304","-0.66%"
"Sep 22, 2010","1.3400","1.3253","1.3441","1.3246","1.12%"
"Sep 21, 2010","1.3252","1.3062","1.3282","1.3056","1.42%"
"Sep 20, 2010","1.3066","1.3053","1.3121","1.3026","0.14%"
"Sep 17, 2010","1.3048","1.3081","1.3162","1.3019","-0.21%"
"Sep 16, 2010","1.3076","1.3012","1.3119","1.2976","0.55%"
"Sep 15, 2010","1.3005","1.2993","1.3037","1.2954","0.07%"
"Sep 14, 2010","1.2996","1.2878","1.3034","1.2827","0.90%"
"Sep 13, 2010","1.2880","1.2708","1.2894","1.2703","1.58%"
"Sep 10, 2010","1.2680","1.2699","1.2750","1.2645","-0.11%"
"Sep 09, 2010","1.2694","1.2721","1.2767","1.2662","-0.23%"
"Sep 08, 2010","1.2723","1.2686","1.2766","1.2661","0.32%"
"Sep 07, 2010","1.2683","1.2873","1.2877","1.2676","-1.48%"
"Sep 06, 2010","1.2873","1.2889","1.2920","1.2865","-0.18%"
"Sep 03, 2010","1.2896","1.2829","1.2900","1.2810","0.55%"
"Sep 02, 2010","1.2826","1.2799","1.2849","1.2776","0.11%"
"Sep 01, 2010","1.2812","1.2686","1.2856","1.2662","0.99%"
"Aug 31, 2010","1.2687","1.2664","1.2744","1.2624","0.18%"
"Aug 30, 2010","1.2664","1.2766","1.2770","1.2658","-0.79%"
"Aug 27, 2010","1.2765","1.2716","1.2781","1.2679","0.35%"
"Aug 26, 2010","1.2720","1.2660","1.2765","1.2649","0.49%"
"Aug 25, 2010","1.2658","1.2631","1.2726","1.2604","0.26%"
"Aug 24, 2010","1.2625","1.2650","1.2719","1.2585","-0.26%"
"Aug 23, 2010","1.2658","1.2704","1.2731","1.2645","-0.39%"
"Aug 20, 2010","1.2708","1.2821","1.2835","1.2664","-0.88%"
"Aug 19, 2010","1.2821","1.2855","1.2903","1.2771","-0.28%"
"Aug 18, 2010","1.2857","1.2881","1.2925","1.2823","-0.19%"
"Aug 17, 2010","1.2881","1.2824","1.2917","1.2804","0.43%"
"Aug 16, 2010","1.2826","1.2761","1.2874","1.2736","0.58%"
"Aug 13, 2010","1.2752","1.2830","1.2909","1.2750","-0.56%"
"Aug 12, 2010","1.2824","1.2846","1.2933","1.2780","-0.07%"
"Aug 11, 2010","1.2833","1.3176","1.3191","1.2829","-2.62%"
"Aug 10, 2010","1.3178","1.3222","1.3235","1.3072","-0.43%"
