Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Euro Area,Currency,2017-02-17T00:00:00,1.0611,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-19T00:00:00,1.0632,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-20T00:00:00,1.0609,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-21T00:00:00,1.0535,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-22T00:00:00,1.0555,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-23T00:00:00,1.0579,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-24T00:00:00,1.056,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-26T00:00:00,1.0553,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-27T00:00:00,1.0585,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-02-28T00:00:00,1.0575,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-01T00:00:00,1.0546,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-02T00:00:00,1.0506,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-03T00:00:00,1.062,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-05T00:00:00,1.0617,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-06T00:00:00,1.0578,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-07T00:00:00,1.0565,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-08T00:00:00,1.0539,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-09T00:00:00,1.0575,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-10T00:00:00,1.0669,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-12T00:00:00,1.0686,Daily,EURUSD,2020-05-16T16:21:33.813
Euro Area,Currency,2017-03-13T00:00:00,1.0653,Daily,EURUSD,2020-05-16T16:21:33.813
