Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Euro Area;GDP Growth Rate;1995-06-30T00:00:00;0.5;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
Euro Area;GDP Growth Rate;1995-09-30T00:00:00;0.2;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
Euro Area;GDP Growth Rate;1995-12-31T00:00:00;0.3;Quarterly;EUGNEMUQ;2016-09-06T10:32:00
Euro Area;GDP Growth Rate;1996-03-31T00:00:00;0.1;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1996-06-30T00:00:00;0.8;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1996-09-30T00:00:00;0.5;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1996-12-31T00:00:00;0.5;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
Euro Area;GDP Growth Rate;1997-03-31T00:00:00;0.2;Quarterly;EUGNEMUQ;2016-09-06T10:32:00
Euro Area;GDP Growth Rate;1997-06-30T00:00:00;1.3;Quarterly;EUGNEMUQ;2016-09-06T10:32:00
Euro Area;GDP Growth Rate;1997-09-30T00:00:00;0.8;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1997-12-31T00:00:00;1.1;Quarterly;EUGNEMUQ;2017-03-07T11:07:00
Euro Area;GDP Growth Rate;1998-03-31T00:00:00;0.7;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1998-06-30T00:00:00;0.5;Quarterly;EUGNEMUQ;2019-11-06T09:56:00
Euro Area;GDP Growth Rate;1998-09-30T00:00:00;0.6;Quarterly;EUGNEMUQ;2017-12-07T10:54:00
Euro Area;GDP Growth Rate;1998-12-31T00:00:00;0.2;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
Euro Area;GDP Growth Rate;1999-03-31T00:00:00;1;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
Euro Area;GDP Growth Rate;1999-06-30T00:00:00;0.6;Quarterly;EUGNEMUQ;2019-09-06T09:39:00
