Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Euro Area;Interbank Rate;2016-07-18T00:00:00;-0.3064;Daily;EMUEVOLVINTRAT;2016-07-20T08:30:00
Euro Area;Interbank Rate;2016-07-19T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-21T08:31:00
Euro Area;Interbank Rate;2016-07-20T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-22T08:31:00
Euro Area;Interbank Rate;2016-07-21T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-23T10:08:00
Euro Area;Interbank Rate;2016-07-22T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-26T08:31:00
Euro Area;Interbank Rate;2016-07-25T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-27T08:31:00
Euro Area;Interbank Rate;2016-07-26T00:00:00;-0.3035;Daily;EMUEVOLVINTRAT;2016-07-28T08:31:00
Euro Area;Interbank Rate;2016-07-27T00:00:00;-0.3028;Daily;EMUEVOLVINTRAT;2016-07-29T08:31:00
Euro Area;Interbank Rate;2016-07-28T00:00:00;-0.3028;Daily;EMUEVOLVINTRAT;2016-07-30T10:10:00
Euro Area;Interbank Rate;2016-07-29T00:00:00;-0.3021;Daily;EMUEVOLVINTRAT;2016-08-02T08:31:00
Euro Area;Interbank Rate;2016-08-01T00:00:00;-0.3028;Daily;EMUEVOLVINTRAT;2016-08-03T08:31:00
Euro Area;Interbank Rate;2016-08-02T00:00:00;-0.3042;Daily;EMUEVOLVINTRAT;2016-08-04T08:31:00
Euro Area;Interbank Rate;2016-08-03T00:00:00;-0.3144;Daily;EMUEVOLVINTRAT;2016-08-05T08:31:00
Euro Area;Interbank Rate;2016-08-04T00:00:00;-0.3144;Daily;EMUEVOLVINTRAT;2016-08-06T10:07:00
Euro Area;Interbank Rate;2016-08-05T00:00:00;-0.3157;Daily;EMUEVOLVINTRAT;2016-08-09T08:31:00
Euro Area;Interbank Rate;2016-08-08T00:00:00;-0.3157;Daily;EMUEVOLVINTRAT;2016-08-10T08:31:00
Euro Area;Interbank Rate;2016-08-09T00:00:00;-0.3185;Daily;EMUEVOLVINTRAT;2016-08-11T08:31:00
Euro Area;Interbank Rate;2016-08-10T00:00:00;-0.3185;Daily;EMUEVOLVINTRAT;2016-08-12T08:31:00
Euro Area;Interbank Rate;2016-08-11T00:00:00;-0.3192;Daily;EMUEVOLVINTRAT;2016-08-13T10:08:00
Euro Area;Interbank Rate;2016-08-12T00:00:00;-0.3192;Daily;EMUEVOLVINTRAT;2016-08-16T08:31:00
Euro Area;Interbank Rate;2016-08-15T00:00:00;-0.3214;Daily;EMUEVOLVINTRAT;2016-08-17T08:31:00
Euro Area;Interbank Rate;2016-08-16T00:00:00;-0.3215;Daily;EMUEVOLVINTRAT;2016-08-18T08:31:00
Euro Area;Interbank Rate;2016-08-17T00:00:00;-0.3201;Daily;EMUEVOLVINTRAT;2016-08-19T08:31:00
Euro Area;Interbank Rate;2016-08-18T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-20T10:14:00
Euro Area;Interbank Rate;2016-08-19T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-23T08:31:00
Euro Area;Interbank Rate;2016-08-22T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-24T08:31:00
Euro Area;Interbank Rate;2016-08-23T00:00:00;-0.3188;Daily;EMUEVOLVINTRAT;2016-08-25T08:31:00
Euro Area;Interbank Rate;2016-08-24T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-26T08:31:00
Euro Area;Interbank Rate;2016-08-25T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-27T10:13:00
Euro Area;Interbank Rate;2016-08-26T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-30T08:31:00
Euro Area;Interbank Rate;2016-08-29T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-08-31T08:31:00
Euro Area;Interbank Rate;2016-08-30T00:00:00;-0.3224;Daily;EMUEVOLVINTRAT;2016-09-01T08:31:00
Euro Area;Interbank Rate;2016-08-31T00:00:00;-0.3225;Daily;EMUEVOLVINTRAT;2016-09-02T08:30:00
Euro Area;Interbank Rate;2016-09-01T00:00:00;-0.3268;Daily;EMUEVOLVINTRAT;2016-09-03T10:09:00
Euro Area;Interbank Rate;2016-09-02T00:00:00;-0.3258;Daily;EMUEVOLVINTRAT;2016-09-06T08:31:00
Euro Area;Interbank Rate;2016-09-05T00:00:00;-0.3251;Daily;EMUEVOLVINTRAT;2016-09-07T08:31:00
Euro Area;Interbank Rate;2016-09-06T00:00:00;-0.324;Daily;EMUEVOLVINTRAT;2016-09-07T16:30:00
Euro Area;Interbank Rate;2016-09-07T00:00:00;-0.3211;Daily;EMUEVOLVINTRAT;2016-09-09T08:31:00
Euro Area;Interbank Rate;2016-09-08T00:00:00;-0.3225;Daily;EMUEVOLVINTRAT;2016-09-10T10:11:00
Euro Area;Interbank Rate;2016-09-09T00:00:00;-0.3187;Daily;EMUEVOLVINTRAT;2016-09-13T07:31:00
Euro Area;Interbank Rate;2016-09-12T00:00:00;-0.3201;Daily;EMUEVOLVINTRAT;2016-09-14T07:31:00
Euro Area;Interbank Rate;2016-09-13T00:00:00;-0.3201;Daily;EMUEVOLVINTRAT;2016-09-15T07:31:00
Euro Area;Interbank Rate;2016-09-14T00:00:00;-0.3194;Daily;EMUEVOLVINTRAT;2016-09-16T07:31:00
Euro Area;Interbank Rate;2016-09-15T00:00:00;-0.3201;Daily;EMUEVOLVINTRAT;2016-09-17T10:13:00
Euro Area;Interbank Rate;2016-09-16T00:00:00;-0.3208;Daily;EMUEVOLVINTRAT;2016-09-20T07:31:00
Euro Area;Interbank Rate;2016-09-19T00:00:00;-0.3208;Daily;EMUEVOLVINTRAT;2016-09-21T07:31:00
Euro Area;Interbank Rate;2016-09-20T00:00:00;-0.3215;Daily;EMUEVOLVINTRAT;2016-09-22T08:31:00
Euro Area;Interbank Rate;2016-09-21T00:00:00;-0.3224;Daily;EMUEVOLVINTRAT;2016-09-23T08:31:00
Euro Area;Interbank Rate;2016-09-22T00:00:00;-0.3224;Daily;EMUEVOLVINTRAT;2016-09-24T10:14:00
Euro Area;Interbank Rate;2016-09-23T00:00:00;-0.3202;Daily;EMUEVOLVINTRAT;2016-09-27T08:31:00
Euro Area;Interbank Rate;2016-09-26T00:00:00;-0.3218;Daily;EMUEVOLVINTRAT;2016-09-28T08:31:00
Euro Area;Interbank Rate;2016-09-27T00:00:00;-0.3218;Daily;EMUEVOLVINTRAT;2016-09-29T08:31:00
Euro Area;Interbank Rate;2016-09-28T00:00:00;-0.3253;Daily;EMUEVOLVINTRAT;2016-09-30T08:31:00
Euro Area;Interbank Rate;2016-09-29T00:00:00;-0.322;Daily;EMUEVOLVINTRAT;2016-09-30T16:31:00
Euro Area;Interbank Rate;2016-09-30T00:00:00;-0.322;Daily;EMUEVOLVINTRAT;2016-10-01T10:07:00
Euro Area;Interbank Rate;2016-10-03T00:00:00;-0.322;Daily;EMUEVOLVINTRAT;2016-10-04T08:31:00
Euro Area;Interbank Rate;2016-10-04T00:00:00;-0.3205;Daily;EMUEVOLVINTRAT;2016-10-06T08:31:00
Euro Area;Interbank Rate;2016-10-05T00:00:00;-0.3205;Daily;EMUEVOLVINTRAT;2016-10-07T08:31:00
Euro Area;Interbank Rate;2016-10-06T00:00:00;-0.3205;Daily;EMUEVOLVINTRAT;2016-10-08T10:08:00
Euro Area;Interbank Rate;2016-10-07T00:00:00;-0.322;Daily;EMUEVOLVINTRAT;2016-10-10T08:31:00
Euro Area;Interbank Rate;2016-10-10T00:00:00;-0.3217;Daily;EMUEVOLVINTRAT;2016-10-12T08:31:00
Euro Area;Interbank Rate;2016-10-11T00:00:00;-0.3204;Daily;EMUEVOLVINTRAT;2016-10-13T08:31:00
Euro Area;Interbank Rate;2016-10-12T00:00:00;-0.3227;Daily;EMUEVOLVINTRAT;2016-10-14T08:31:00
Euro Area;Interbank Rate;2016-10-13T00:00:00;-0.3248;Daily;EMUEVOLVINTRAT;2016-10-15T10:08:00
Euro Area;Interbank Rate;2016-10-14T00:00:00;-0.3234;Daily;EMUEVOLVINTRAT;2016-10-18T08:31:00
Euro Area;Interbank Rate;2016-10-17T00:00:00;-0.3234;Daily;EMUEVOLVINTRAT;2016-10-19T08:31:00
Euro Area;Interbank Rate;2016-10-18T00:00:00;-0.3235;Daily;EMUEVOLVINTRAT;2016-10-20T08:31:00
Euro Area;Interbank Rate;2016-10-19T00:00:00;-0.3235;Daily;EMUEVOLVINTRAT;2016-10-21T08:31:00
Euro Area;Interbank Rate;2016-10-20T00:00:00;-0.3235;Daily;EMUEVOLVINTRAT;2016-10-22T10:08:00
Euro Area;Interbank Rate;2016-10-21T00:00:00;-0.3228;Daily;EMUEVOLVINTRAT;2016-10-25T08:31:00
Euro Area;Interbank Rate;2016-10-24T00:00:00;-0.3228;Daily;EMUEVOLVINTRAT;2016-10-26T08:31:00
Euro Area;Interbank Rate;2016-10-25T00:00:00;-0.3228;Daily;EMUEVOLVINTRAT;2016-10-27T08:31:00
Euro Area;Interbank Rate;2016-10-26T00:00:00;-0.3235;Daily;EMUEVOLVINTRAT;2016-10-28T08:31:00
Euro Area;Interbank Rate;2016-10-27T00:00:00;-0.3192;Daily;EMUEVOLVINTRAT;2016-10-29T10:09:00
Euro Area;Interbank Rate;2016-10-28T00:00:00;-0.3192;Daily;EMUEVOLVINTRAT;2016-11-01T08:31:00
Euro Area;Interbank Rate;2016-10-31T00:00:00;-0.3207;Daily;EMUEVOLVINTRAT;2016-11-02T08:31:00
Euro Area;Interbank Rate;2016-11-01T00:00:00;-0.3221;Daily;EMUEVOLVINTRAT;2016-11-03T08:31:00
Euro Area;Interbank Rate;2016-11-02T00:00:00;-0.3235;Daily;EMUEVOLVINTRAT;2016-11-04T08:31:00
Euro Area;Interbank Rate;2016-11-03T00:00:00;-0.3228;Daily;EMUEVOLVINTRAT;2016-11-05T10:08:00
Euro Area;Interbank Rate;2016-11-04T00:00:00;-0.3228;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-07T00:00:00;-0.3221;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-08T00:00:00;-0.3314;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-09T00:00:00;-0.3321;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-10T00:00:00;-0.3314;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-11T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-14T00:00:00;-0.3321;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-15T00:00:00;-0.3314;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-16T00:00:00;-0.3285;Daily;EMUEVOLVINTRAT;2016-11-18T17:10:00
Euro Area;Interbank Rate;2016-11-17T00:00:00;-0.3292;Daily;EMUEVOLVINTRAT;2016-11-19T00:03:00
Euro Area;Interbank Rate;2016-11-18T00:00:00;-0.3292;Daily;EMUEVOLVINTRAT;2016-11-22T08:55:00
Euro Area;Interbank Rate;2016-11-21T00:00:00;-0.3271;Daily;EMUEVOLVINTRAT;2016-11-23T08:31:00
Euro Area;Interbank Rate;2016-11-22T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-11-24T08:31:00
Euro Area;Interbank Rate;2016-11-23T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-11-25T08:31:00
Euro Area;Interbank Rate;2016-11-24T00:00:00;-0.3292;Daily;EMUEVOLVINTRAT;2016-11-26T10:10:00
Euro Area;Interbank Rate;2016-11-25T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-11-29T08:31:00
Euro Area;Interbank Rate;2016-11-28T00:00:00;-0.3314;Daily;EMUEVOLVINTRAT;2016-11-30T08:31:00
Euro Area;Interbank Rate;2016-11-29T00:00:00;-0.3264;Daily;EMUEVOLVINTRAT;2016-12-01T08:31:00
Euro Area;Interbank Rate;2016-11-30T00:00:00;-0.325;Daily;EMUEVOLVINTRAT;2016-12-01T16:31:00
Euro Area;Interbank Rate;2016-12-01T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-03T10:12:00
Euro Area;Interbank Rate;2016-12-02T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-06T08:31:00
Euro Area;Interbank Rate;2016-12-05T00:00:00;-0.3342;Daily;EMUEVOLVINTRAT;2016-12-07T08:31:00
Euro Area;Interbank Rate;2016-12-06T00:00:00;-0.3371;Daily;EMUEVOLVINTRAT;2016-12-08T08:31:00
Euro Area;Interbank Rate;2016-12-07T00:00:00;-0.3371;Daily;EMUEVOLVINTRAT;2016-12-09T08:31:00
Euro Area;Interbank Rate;2016-12-08T00:00:00;-0.3342;Daily;EMUEVOLVINTRAT;2016-12-10T10:07:00
Euro Area;Interbank Rate;2016-12-09T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-13T08:31:00
Euro Area;Interbank Rate;2016-12-12T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-14T08:30:00
Euro Area;Interbank Rate;2016-12-13T00:00:00;-0.3342;Daily;EMUEVOLVINTRAT;2016-12-15T08:31:00
Euro Area;Interbank Rate;2016-12-14T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-12-16T08:31:00
Euro Area;Interbank Rate;2016-12-15T00:00:00;-0.33;Daily;EMUEVOLVINTRAT;2016-12-16T16:31:00
Euro Area;Interbank Rate;2016-12-16T00:00:00;-0.3292;Daily;EMUEVOLVINTRAT;2016-12-20T08:31:00
Euro Area;Interbank Rate;2016-12-19T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-12-21T08:31:00
Euro Area;Interbank Rate;2016-12-20T00:00:00;-0.3307;Daily;EMUEVOLVINTRAT;2016-12-22T08:31:00
Euro Area;Interbank Rate;2016-12-21T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-23T08:31:00
Euro Area;Interbank Rate;2016-12-22T00:00:00;-0.335;Daily;EMUEVOLVINTRAT;2016-12-23T16:31:00
Euro Area;Interbank Rate;2016-12-23T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-27T08:31:00
Euro Area;Interbank Rate;2016-12-26T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-28T08:31:00
Euro Area;Interbank Rate;2016-12-27T00:00:00;-0.3335;Daily;EMUEVOLVINTRAT;2016-12-29T08:31:00
Euro Area;Interbank Rate;2016-12-28T00:00:00;-0.3357;Daily;EMUEVOLVINTRAT;2016-12-30T08:31:00
Euro Area;Interbank Rate;2016-12-29T00:00:00;-0.3357;Daily;EMUEVOLVINTRAT;2016-12-31T10:11:00
Euro Area;Interbank Rate;2016-12-30T00:00:00;-0.3364;Daily;EMUEVOLVINTRAT;2017-01-03T08:31:00
Euro Area;Interbank Rate;2017-01-02T00:00:00;-0.3364;Daily;EMUEVOLVINTRAT;2017-01-04T08:31:00
Euro Area;Interbank Rate;2017-01-03T00:00:00;-0.3357;Daily;EMUEVOLVINTRAT;2017-01-05T08:31:00
Euro Area;Interbank Rate;2017-01-04T00:00:00;-0.3385;Daily;EMUEVOLVINTRAT;2017-01-06T08:31:00
Euro Area;Interbank Rate;2017-01-05T00:00:00;-0.3385;Daily;EMUEVOLVINTRAT;2017-01-07T10:07:00
Euro Area;Interbank Rate;2017-01-06T00:00:00;-0.3414;Daily;EMUEVOLVINTRAT;2017-01-10T08:31:00
Euro Area;Interbank Rate;2017-01-09T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-11T08:31:00
Euro Area;Interbank Rate;2017-01-10T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-12T08:31:00
Euro Area;Interbank Rate;2017-01-11T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-13T08:31:00
Euro Area;Interbank Rate;2017-01-12T00:00:00;-0.3414;Daily;EMUEVOLVINTRAT;2017-01-14T10:08:00
Euro Area;Interbank Rate;2017-01-13T00:00:00;-0.3414;Daily;EMUEVOLVINTRAT;2017-01-17T08:30:00
Euro Area;Interbank Rate;2017-01-16T00:00:00;-0.3428;Daily;EMUEVOLVINTRAT;2017-01-18T08:30:00
Euro Area;Interbank Rate;2017-01-17T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-19T08:30:00
Euro Area;Interbank Rate;2017-01-18T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-20T08:30:00
Euro Area;Interbank Rate;2017-01-19T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-21T10:07:00
Euro Area;Interbank Rate;2017-01-20T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-24T08:31:00
Euro Area;Interbank Rate;2017-01-23T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-25T08:31:00
Euro Area;Interbank Rate;2017-01-24T00:00:00;-0.3407;Daily;EMUEVOLVINTRAT;2017-01-26T08:31:00
Euro Area;Interbank Rate;2017-01-25T00:00:00;-0.3435;Daily;EMUEVOLVINTRAT;2017-01-27T08:31:00
Euro Area;Interbank Rate;2017-01-26T00:00:00;-0.3435;Daily;EMUEVOLVINTRAT;2017-01-28T10:10:00
Euro Area;Interbank Rate;2017-01-27T00:00:00;-0.345;Daily;EMUEVOLVINTRAT;2017-01-30T08:31:00
Euro Area;Interbank Rate;2017-01-30T00:00:00;-0.345;Daily;EMUEVOLVINTRAT;2017-01-31T08:31:00
Euro Area;Interbank Rate;2017-01-31T00:00:00;-0.3435;Daily;EMUEVOLVINTRAT;2017-02-02T08:30:00
Euro Area;Interbank Rate;2017-02-01T00:00:00;-0.3435;Daily;EMUEVOLVINTRAT;2017-02-03T08:31:00
Euro Area;Interbank Rate;2017-02-02T00:00:00;-0.3438;Daily;EMUEVOLVINTRAT;2017-02-04T10:10:00
Euro Area;Interbank Rate;2017-02-03T00:00:00;-0.3438;Daily;EMUEVOLVINTRAT;2017-02-07T08:30:00
Euro Area;Interbank Rate;2017-02-06T00:00:00;-0.3438;Daily;EMUEVOLVINTRAT;2017-02-08T08:30:00
Euro Area;Interbank Rate;2017-02-07T00:00:00;-0.3495;Daily;EMUEVOLVINTRAT;2017-02-09T08:30:00
Euro Area;Interbank Rate;2017-02-08T00:00:00;-0.3482;Daily;EMUEVOLVINTRAT;2017-02-10T08:30:00
Euro Area;Interbank Rate;2017-02-09T00:00:00;-0.349;Daily;EMUEVOLVINTRAT;2017-02-10T16:31:00
Euro Area;Interbank Rate;2017-02-10T00:00:00;-0.349;Daily;EMUEVOLVINTRAT;2017-02-11T10:11:00
Euro Area;Interbank Rate;2017-02-13T00:00:00;-0.349;Daily;EMUEVOLVINTRAT;2017-02-14T08:30:00
Euro Area;Interbank Rate;2017-02-14T00:00:00;-0.3504;Daily;EMUEVOLVINTRAT;2017-02-16T08:31:00
Euro Area;Interbank Rate;2017-02-15T00:00:00;-0.3501;Daily;EMUEVOLVINTRAT;2017-02-17T08:31:00
Euro Area;Interbank Rate;2017-02-16T00:00:00;-0.3501;Daily;EMUEVOLVINTRAT;2017-02-18T10:11:00
Euro Area;Interbank Rate;2017-02-17T00:00:00;-0.3515;Daily;EMUEVOLVINTRAT;2017-02-21T08:31:00
Euro Area;Interbank Rate;2017-02-20T00:00:00;-0.3521;Daily;EMUEVOLVINTRAT;2017-02-22T08:31:00
Euro Area;Interbank Rate;2017-02-21T00:00:00;-0.3521;Daily;EMUEVOLVINTRAT;2017-02-23T08:31:00
Euro Area;Interbank Rate;2017-02-22T00:00:00;-0.3521;Daily;EMUEVOLVINTRAT;2017-02-24T08:31:00
Euro Area;Interbank Rate;2017-02-23T00:00:00;-0.3507;Daily;EMUEVOLVINTRAT;2017-02-25T10:06:00
Euro Area;Interbank Rate;2017-02-24T00:00:00;-0.3514;Daily;EMUEVOLVINTRAT;2017-02-28T08:31:00
Euro Area;Interbank Rate;2017-02-27T00:00:00;-0.3521;Daily;EMUEVOLVINTRAT;2017-03-01T08:31:00
Euro Area;Interbank Rate;2017-02-28T00:00:00;-0.3528;Daily;EMUEVOLVINTRAT;2017-03-02T08:31:00
Euro Area;Interbank Rate;2017-03-01T00:00:00;-0.3564;Daily;EMUEVOLVINTRAT;2017-03-03T08:31:00
Euro Area;Interbank Rate;2017-03-02T00:00:00;-0.355;Daily;EMUEVOLVINTRAT;2017-03-03T16:31:00
Euro Area;Interbank Rate;2017-03-03T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-07T08:31:00
Euro Area;Interbank Rate;2017-03-06T00:00:00;-0.3521;Daily;EMUEVOLVINTRAT;2017-03-08T08:31:00
Euro Area;Interbank Rate;2017-03-07T00:00:00;-0.3535;Daily;EMUEVOLVINTRAT;2017-03-09T08:31:00
Euro Area;Interbank Rate;2017-03-08T00:00:00;-0.3571;Daily;EMUEVOLVINTRAT;2017-03-10T08:31:00
Euro Area;Interbank Rate;2017-03-09T00:00:00;-0.3571;Daily;EMUEVOLVINTRAT;2017-03-11T10:07:00
Euro Area;Interbank Rate;2017-03-10T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-14T08:31:00
Euro Area;Interbank Rate;2017-03-13T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-15T08:31:00
Euro Area;Interbank Rate;2017-03-14T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-16T08:31:00
Euro Area;Interbank Rate;2017-03-15T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-17T08:31:00
Euro Area;Interbank Rate;2017-03-16T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-18T10:09:00
Euro Area;Interbank Rate;2017-03-17T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-21T08:31:00
Euro Area;Interbank Rate;2017-03-20T00:00:00;-0.3542;Daily;EMUEVOLVINTRAT;2017-03-22T08:31:00
Euro Area;Interbank Rate;2017-03-21T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-03-23T08:31:00
Euro Area;Interbank Rate;2017-03-22T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-03-24T08:31:00
Euro Area;Interbank Rate;2017-03-23T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-03-25T10:10:00
Euro Area;Interbank Rate;2017-03-24T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-03-28T08:31:00
Euro Area;Interbank Rate;2017-03-27T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-03-29T08:31:00
Euro Area;Interbank Rate;2017-03-28T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-03-30T08:30:00
Euro Area;Interbank Rate;2017-03-29T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-03-31T08:31:00
Euro Area;Interbank Rate;2017-03-30T00:00:00;-0.3557;Daily;EMUEVOLVINTRAT;2017-04-01T10:07:00
Euro Area;Interbank Rate;2017-03-31T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-04-04T08:34:00
Euro Area;Interbank Rate;2017-04-03T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-05T08:31:00
Euro Area;Interbank Rate;2017-04-04T00:00:00;-0.3592;Daily;EMUEVOLVINTRAT;2017-04-06T08:31:00
Euro Area;Interbank Rate;2017-04-05T00:00:00;-0.3592;Daily;EMUEVOLVINTRAT;2017-04-07T08:31:00
Euro Area;Interbank Rate;2017-04-06T00:00:00;-0.3592;Daily;EMUEVOLVINTRAT;2017-04-08T10:10:00
Euro Area;Interbank Rate;2017-04-07T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-04-11T08:31:00
Euro Area;Interbank Rate;2017-04-10T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-12T08:31:00
Euro Area;Interbank Rate;2017-04-11T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-13T08:31:00
Euro Area;Interbank Rate;2017-04-12T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-14T08:31:00
Euro Area;Interbank Rate;2017-04-13T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-04-15T10:08:00
Euro Area;Interbank Rate;2017-04-14T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-04-18T08:31:00
Euro Area;Interbank Rate;2017-04-17T00:00:00;-0.3578;Daily;EMUEVOLVINTRAT;2017-04-19T08:31:00
Euro Area;Interbank Rate;2017-04-18T00:00:00;-0.3592;Daily;EMUEVOLVINTRAT;2017-04-20T08:30:00
Euro Area;Interbank Rate;2017-04-19T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-21T08:31:00
Euro Area;Interbank Rate;2017-04-20T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-22T10:07:00
Euro Area;Interbank Rate;2017-04-21T00:00:00;-0.3621;Daily;EMUEVOLVINTRAT;2017-04-25T08:31:00
Euro Area;Interbank Rate;2017-04-24T00:00:00;-0.3585;Daily;EMUEVOLVINTRAT;2017-04-26T08:31:00
Euro Area;Interbank Rate;2017-04-25T00:00:00;-0.3614;Daily;EMUEVOLVINTRAT;2017-04-27T08:31:00
Euro Area;Interbank Rate;2017-04-26T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-28T08:31:00
Euro Area;Interbank Rate;2017-04-27T00:00:00;-0.3607;Daily;EMUEVOLVINTRAT;2017-04-29T10:09:00
Euro Area;Interbank Rate;2017-04-28T00:00:00;-0.3628;Daily;EMUEVOLVINTRAT;2017-05-02T08:31:00
Euro Area;Interbank Rate;2017-05-01T00:00:00;-0.3628;Daily;EMUEVOLVINTRAT;2017-05-03T08:31:00
Euro Area;Interbank Rate;2017-05-02T00:00:00;-0.3621;Daily;EMUEVOLVINTRAT;2017-05-04T08:31:00
Euro Area;Interbank Rate;2017-05-03T00:00:00;-0.3621;Daily;EMUEVOLVINTRAT;2017-05-05T08:31:00
Euro Area;Interbank Rate;2017-05-04T00:00:00;-0.3621;Daily;EMUEVOLVINTRAT;2017-05-06T10:07:00
