Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Portugal;Bank Lending Rate;2003-01-31T00:00:00;6.69;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-02-28T00:00:00;6.62;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2003-03-31T00:00:00;6.59;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2003-04-30T00:00:00;6.42;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-05-31T00:00:00;6.37;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-06-30T00:00:00;6.04;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2003-07-31T00:00:00;6.04;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-08-31T00:00:00;5.97;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-09-30T00:00:00;5.93;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-10-31T00:00:00;5.94;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2003-11-30T00:00:00;5.85;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2003-12-31T00:00:00;5.63;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-01-31T00:00:00;5.76;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-02-29T00:00:00;5.75;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2004-03-31T00:00:00;5.68;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-04-30T00:00:00;5.54;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-05-31T00:00:00;5.6;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2004-06-30T00:00:00;5.62;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-07-31T00:00:00;5.69;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-08-31T00:00:00;5.8;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2004-09-30T00:00:00;5.72;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-10-31T00:00:00;5.75;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-11-30T00:00:00;5.72;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2004-12-31T00:00:00;5.52;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-01-31T00:00:00;5.75;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2005-02-28T00:00:00;5.82;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-03-31T00:00:00;5.72;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-04-30T00:00:00;5.76;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-05-31T00:00:00;5.75;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2005-06-30T00:00:00;5.7;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-07-31T00:00:00;5.63;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-08-31T00:00:00;5.81;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-09-30T00:00:00;5.74;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-10-31T00:00:00;5.74;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2005-11-30T00:00:00;5.84;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2005-12-31T00:00:00;5.73;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-01-31T00:00:00;5.84;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2006-02-28T00:00:00;5.98;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-03-31T00:00:00;6.05;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-04-30T00:00:00;6.1;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2006-05-31T00:00:00;6.12;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-06-30T00:00:00;6.1;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-07-31T00:00:00;6.23;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2006-08-31T00:00:00;6.38;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-09-30T00:00:00;6.43;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-10-31T00:00:00;6.54;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
Portugal;Bank Lending Rate;2006-11-30T00:00:00;6.61;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2006-12-31T00:00:00;6.52;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2007-01-31T00:00:00;6.77;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2007-02-28T00:00:00;6.86;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2007-03-31T00:00:00;6.82;Monthly;PORTUGALBANLENRAT;2014-08-27T11:19:00
Portugal;Bank Lending Rate;2007-04-30T00:00:00;6.82;Monthly;PORTUGALBANLENRAT;2015-01-11T21:05:00
