Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Portugal;Personal Income Tax Rate;1995-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;1996-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;1997-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;1998-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;1999-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2000-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2001-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2002-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2003-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2004-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2005-12-31T00:00:00;40;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2006-12-31T00:00:00;42;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2007-12-31T00:00:00;42;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2008-12-31T00:00:00;42;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2009-12-31T00:00:00;42;Yearly;PRTIRSTAX;2014-09-22T18:08:00
Portugal;Personal Income Tax Rate;2010-12-31T00:00:00;45.9;Yearly;PRTIRSTAX;2016-03-08T15:04:00
Portugal;Personal Income Tax Rate;2011-12-31T00:00:00;46.5;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2012-12-31T00:00:00;46.5;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2013-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2014-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2015-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2016-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:08:00
Portugal;Personal Income Tax Rate;2017-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:09:00
Portugal;Personal Income Tax Rate;2018-12-31T00:00:00;48;Yearly;PRTIRSTAX;2018-02-06T11:12:00
Portugal;Personal Income Tax Rate;2019-12-31T00:00:00;48;Yearly;PRTIRSTAX;2019-09-04T16:14:00
Portugal;Personal Income Tax Rate;2020-12-31T00:00:00;48;Yearly;PRTIRSTAX;2020-02-20T20:47:00
