Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
Portugal;Personal Savings;1999-12-31T00:00:00;13.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2000-03-31T00:00:00;13.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2000-06-30T00:00:00;12.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2000-09-30T00:00:00;12.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2000-12-31T00:00:00;12.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2001-03-31T00:00:00;12.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2001-06-30T00:00:00;12.6;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2001-09-30T00:00:00;12.6;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2001-12-31T00:00:00;13.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2002-03-31T00:00:00;13.2;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2002-06-30T00:00:00;13.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2002-09-30T00:00:00;13.9;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2002-12-31T00:00:00;13;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2003-03-31T00:00:00;12.9;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2003-06-30T00:00:00;12.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2003-09-30T00:00:00;12.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2003-12-31T00:00:00;12.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2004-03-31T00:00:00;12.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2004-06-30T00:00:00;11.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2004-09-30T00:00:00;11.2;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2004-12-31T00:00:00;11.2;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2005-03-31T00:00:00;11;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2005-06-30T00:00:00;10.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2005-09-30T00:00:00;10.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2005-12-31T00:00:00;10.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2006-03-31T00:00:00;9.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2006-06-30T00:00:00;10.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2006-09-30T00:00:00;9.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2006-12-31T00:00:00;8.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2007-03-31T00:00:00;9;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2007-06-30T00:00:00;7.9;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2007-09-30T00:00:00;8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2007-12-31T00:00:00;7.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2008-03-31T00:00:00;6.3;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2008-06-30T00:00:00;5.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2008-09-30T00:00:00;5.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2008-12-31T00:00:00;7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2009-03-31T00:00:00;7.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2009-06-30T00:00:00;9.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2009-09-30T00:00:00;9.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2009-12-31T00:00:00;11.6;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2010-03-31T00:00:00;11.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2010-06-30T00:00:00;10.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2010-09-30T00:00:00;10.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2010-12-31T00:00:00;9.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2011-03-31T00:00:00;9;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2011-06-30T00:00:00;8.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2011-09-30T00:00:00;8.2;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2011-12-31T00:00:00;8.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2012-03-31T00:00:00;9.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2012-06-30T00:00:00;9.2;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2012-09-30T00:00:00;9.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2012-12-31T00:00:00;9.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2013-03-31T00:00:00;10.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2013-06-30T00:00:00;10.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2013-09-30T00:00:00;10.5;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2013-12-31T00:00:00;9.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2014-03-31T00:00:00;8.4;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2014-06-30T00:00:00;8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2014-09-30T00:00:00;7.7;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2014-12-31T00:00:00;6.8;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
Portugal;Personal Savings;2015-03-31T00:00:00;7.1;Quarterly;PORTUGALPERSAV;2019-09-24T13:59:00
